Method,Effective_date,Trigger_date,Seed,N,Applied_end,Year
Features_only,2015-07-06,2015-07-03,374583,4,2015-07-09,2015
Features_only,2015-07-10,2015-07-09,385735,7,2015-07-20,2015
Features_only,2015-07-21,2015-07-20,385735,9,2015-07-31,2015
Features_only,2015-08-03,2015-07-31,798291,6,2015-08-10,2015
Features_only,2015-08-11,2015-08-10,42716,6,2015-08-18,2015
Features_only,2015-08-19,2015-08-18,42716,2,2015-08-20,2015
Features_only,2015-08-21,2015-08-20,385735,2,2015-08-24,2015
Features_only,2015-08-25,2015-08-24,385735,1,2015-08-25,2015
Features_only,2015-08-26,2015-08-25,385735,1,2015-08-26,2015
Features_only,2015-08-27,2015-08-26,385735,1,2015-08-27,2015
Features_only,2015-08-28,2015-08-27,385735,7,2015-09-06,2015
Features_only,2015-09-07,2015-09-06,42716,6,2015-09-14,2015
Features_only,2015-09-15,2015-09-14,42716,2,2015-09-16,2015
Features_only,2015-09-17,2015-09-16,565766,2,2015-09-18,2015
Features_only,2015-09-21,2015-09-18,565766,2,2015-09-22,2015
Features_only,2015-09-23,2015-09-22,565766,6,2015-09-30,2015
Features_only,2015-10-01,2015-09-30,565766,11,2015-10-14,2015
Features_only,2015-10-15,2015-10-14,385735,1,2015-10-15,2015
Features_only,2015-10-16,2015-10-15,385735,1,2015-10-16,2015
Features_only,2015-10-19,2015-10-16,385735,12,2015-11-03,2015
Features_only,2015-11-04,2015-11-03,385735,2,2015-11-05,2015
Features_only,2015-11-06,2015-11-05,385735,11,2015-11-20,2015
Features_only,2015-11-23,2015-11-20,741131,1,2015-11-23,2015
Features_only,2015-11-24,2015-11-23,741131,1,2015-11-24,2015
Features_only,2015-11-25,2015-11-24,741131,5,2015-12-01,2015
Features_only,2015-12-02,2015-12-01,741131,1,2015-12-02,2015
Features_only,2015-12-03,2015-12-02,741131,1,2015-12-03,2015
Features_only,2015-12-04,2015-12-03,741131,12,2015-12-21,2015
Features_only,2015-12-22,2015-12-21,741131,1,2015-12-22,2015
Features_only,2015-12-23,2015-12-22,741131,7,2015-12-31,2015
Triggers_only,2015-01-01,,550343,3,2015-01-04,2015
Triggers_only,2015-01-05,2015-01-04,550343,2,2015-01-06,2015
Triggers_only,2015-01-07,2015-01-06,965409,1,2015-01-07,2015
Triggers_only,2015-01-08,2015-01-07,550343,3,2015-01-12,2015
Triggers_only,2015-01-13,2015-01-12,550343,2,2015-01-14,2015
Triggers_only,2015-01-15,2015-01-14,550343,1,2015-01-15,2015
Triggers_only,2015-01-16,2015-01-15,42716,3,2015-01-20,2015
Triggers_only,2015-01-21,2015-01-20,374583,4,2015-01-26,2015
Triggers_only,2015-01-27,2015-01-26,640934,1,2015-01-27,2015
Triggers_only,2015-01-28,2015-01-27,640934,1,2015-01-28,2015
Triggers_only,2015-01-29,2015-01-28,640934,4,2015-02-03,2015
Triggers_only,2015-02-04,2015-02-03,550343,5,2015-02-10,2015
Triggers_only,2015-02-11,2015-02-10,550343,4,2015-02-15,2015
Triggers_only,2015-02-16,2015-02-15,550343,3,2015-02-18,2015
Triggers_only,2015-02-19,2015-02-18,550343,3,2015-02-23,2015
Triggers_only,2015-02-24,2015-02-23,640934,3,2015-02-26,2015
Triggers_only,2015-02-27,2015-02-26,640934,4,2015-03-03,2015
Triggers_only,2015-03-04,2015-03-03,42716,3,2015-03-06,2015
Triggers_only,2015-03-09,2015-03-06,42716,1,2015-03-09,2015
Triggers_only,2015-03-10,2015-03-09,42716,1,2015-03-10,2015
Triggers_only,2015-03-11,2015-03-10,42716,4,2015-03-16,2015
Triggers_only,2015-03-17,2015-03-16,42716,1,2015-03-17,2015
Triggers_only,2015-03-18,2015-03-17,42716,1,2015-03-18,2015
Triggers_only,2015-03-19,2015-03-18,42716,1,2015-03-19,2015
Triggers_only,2015-03-20,2015-03-19,42716,1,2015-03-20,2015
Triggers_only,2015-03-23,2015-03-20,42716,4,2015-03-26,2015
Triggers_only,2015-03-27,2015-03-26,42716,1,2015-03-27,2015
Triggers_only,2015-03-30,2015-03-27,42716,1,2015-03-30,2015
Triggers_only,2015-03-31,2015-03-30,42716,1,2015-03-31,2015
Triggers_only,2015-04-01,2015-03-31,550343,1,2015-04-01,2015
Triggers_only,2015-04-02,2015-04-01,550343,5,2015-04-08,2015
Triggers_only,2015-04-09,2015-04-08,965409,3,2015-04-13,2015
Triggers_only,2015-04-14,2015-04-13,965409,1,2015-04-14,2015
Triggers_only,2015-04-15,2015-04-14,965409,3,2015-04-17,2015
Triggers_only,2015-04-20,2015-04-17,374583,1,2015-04-20,2015
Triggers_only,2015-04-21,2015-04-20,374583,1,2015-04-21,2015
Triggers_only,2015-04-22,2015-04-21,374583,3,2015-04-24,2015
Triggers_only,2015-04-27,2015-04-24,374583,1,2015-04-27,2015
Triggers_only,2015-04-28,2015-04-27,374583,1,2015-04-28,2015
Triggers_only,2015-04-29,2015-04-28,374583,2,2015-04-30,2015
Triggers_only,2015-05-01,2015-04-30,374583,3,2015-05-05,2015
Triggers_only,2015-05-06,2015-05-05,374583,2,2015-05-07,2015
Triggers_only,2015-05-08,2015-05-07,374583,2,2015-05-11,2015
Triggers_only,2015-05-12,2015-05-11,374583,2,2015-05-13,2015
Triggers_only,2015-05-14,2015-05-13,374583,1,2015-05-14,2015
Triggers_only,2015-05-15,2015-05-14,374583,5,2015-05-21,2015
Triggers_only,2015-05-22,2015-05-21,374583,2,2015-05-25,2015
Triggers_only,2015-05-26,2015-05-25,374583,3,2015-05-28,2015
Triggers_only,2015-05-29,2015-05-28,374583,2,2015-06-01,2015
Triggers_only,2015-06-02,2015-06-01,374583,1,2015-06-02,2015
Triggers_only,2015-06-03,2015-06-02,374583,2,2015-06-04,2015
Triggers_only,2015-06-05,2015-06-04,374583,2,2015-06-08,2015
Triggers_only,2015-06-09,2015-06-08,374583,1,2015-06-09,2015
Triggers_only,2015-06-10,2015-06-09,374583,1,2015-06-10,2015
Triggers_only,2015-06-11,2015-06-10,374583,1,2015-06-11,2015
Triggers_only,2015-06-12,2015-06-11,374583,1,2015-06-12,2015
Triggers_only,2015-06-15,2015-06-12,374583,1,2015-06-15,2015
Triggers_only,2015-06-16,2015-06-15,374583,4,2015-06-19,2015
Triggers_only,2015-06-22,2015-06-19,385735,1,2015-06-22,2015
Triggers_only,2015-06-23,2015-06-22,385735,1,2015-06-23,2015
Triggers_only,2015-06-24,2015-06-23,385735,1,2015-06-24,2015
Triggers_only,2015-06-25,2015-06-24,385735,1,2015-06-25,2015
Triggers_only,2015-06-26,2015-06-25,374583,1,2015-06-26,2015
Triggers_only,2015-06-29,2015-06-26,374583,5,2015-07-03,2015
Triggers_only,2015-07-06,2015-07-03,374583,4,2015-07-09,2015
Triggers_only,2015-07-10,2015-07-09,385735,2,2015-07-13,2015
Triggers_only,2015-07-14,2015-07-13,385735,2,2015-07-15,2015
Triggers_only,2015-07-16,2015-07-15,374583,1,2015-07-16,2015
Triggers_only,2015-07-17,2015-07-16,374583,1,2015-07-17,2015
Triggers_only,2015-07-20,2015-07-17,385735,1,2015-07-20,2015
Triggers_only,2015-07-21,2015-07-20,385735,3,2015-07-23,2015
Triggers_only,2015-07-24,2015-07-23,385735,1,2015-07-24,2015
Triggers_only,2015-07-27,2015-07-24,374583,5,2015-07-31,2015
Triggers_only,2015-08-03,2015-07-31,798291,6,2015-08-10,2015
Triggers_only,2015-08-11,2015-08-10,42716,6,2015-08-18,2015
Triggers_only,2015-08-19,2015-08-18,42716,2,2015-08-20,2015
Triggers_only,2015-08-21,2015-08-20,385735,1,2015-08-21,2015
Triggers_only,2015-08-24,2015-08-21,385735,1,2015-08-24,2015
Triggers_only,2015-08-25,2015-08-24,385735,1,2015-08-25,2015
Triggers_only,2015-08-26,2015-08-25,385735,1,2015-08-26,2015
Triggers_only,2015-08-27,2015-08-26,385735,1,2015-08-27,2015
Triggers_only,2015-08-28,2015-08-27,385735,7,2015-09-06,2015
Triggers_only,2015-09-07,2015-09-06,42716,1,2015-09-07,2015
Triggers_only,2015-09-08,2015-09-07,42716,2,2015-09-09,2015
Triggers_only,2015-09-10,2015-09-09,374583,3,2015-09-14,2015
Triggers_only,2015-09-15,2015-09-14,42716,1,2015-09-15,2015
Triggers_only,2015-09-16,2015-09-15,42716,1,2015-09-16,2015
Triggers_only,2015-09-17,2015-09-16,565766,2,2015-09-18,2015
Triggers_only,2015-09-21,2015-09-18,565766,2,2015-09-22,2015
Triggers_only,2015-09-23,2015-09-22,565766,6,2015-09-30,2015
Triggers_only,2015-10-01,2015-09-30,565766,8,2015-10-10,2015
Triggers_only,2015-10-12,2015-10-10,798291,3,2015-10-14,2015
Triggers_only,2015-10-15,2015-10-14,385735,1,2015-10-15,2015
Triggers_only,2015-10-16,2015-10-15,385735,1,2015-10-16,2015
Triggers_only,2015-10-19,2015-10-16,385735,3,2015-10-21,2015
Triggers_only,2015-10-22,2015-10-21,798291,2,2015-10-23,2015
Triggers_only,2015-10-26,2015-10-23,798291,2,2015-10-27,2015
Triggers_only,2015-10-28,2015-10-27,385735,5,2015-11-03,2015
Triggers_only,2015-11-04,2015-11-03,385735,2,2015-11-05,2015
Triggers_only,2015-11-06,2015-11-05,385735,1,2015-11-06,2015
Triggers_only,2015-11-09,2015-11-06,385735,2,2015-11-10,2015
Triggers_only,2015-11-11,2015-11-10,385735,2,2015-11-12,2015
Triggers_only,2015-11-13,2015-11-12,385735,4,2015-11-18,2015
Triggers_only,2015-11-19,2015-11-18,798291,1,2015-11-19,2015
Triggers_only,2015-11-20,2015-11-19,741131,1,2015-11-20,2015
Triggers_only,2015-11-23,2015-11-20,741131,1,2015-11-23,2015
Triggers_only,2015-11-24,2015-11-23,741131,1,2015-11-24,2015
Triggers_only,2015-11-25,2015-11-24,741131,5,2015-12-01,2015
Triggers_only,2015-12-02,2015-12-01,741131,1,2015-12-02,2015
Triggers_only,2015-12-03,2015-12-02,741131,1,2015-12-03,2015
Triggers_only,2015-12-04,2015-12-03,741131,12,2015-12-21,2015
Triggers_only,2015-12-22,2015-12-21,741131,1,2015-12-22,2015
Triggers_only,2015-12-23,2015-12-22,741131,7,2015-12-31,2015
Features_and_triggers,2015-01-01,,550343,3,2015-01-04,2015
Features_and_triggers,2015-01-05,2015-01-04,550343,2,2015-01-06,2015
Features_and_triggers,2015-01-07,2015-01-06,965409,1,2015-01-07,2015
Features_and_triggers,2015-01-08,2015-01-07,550343,3,2015-01-12,2015
Features_and_triggers,2015-01-13,2015-01-12,550343,2,2015-01-14,2015
Features_and_triggers,2015-01-15,2015-01-14,550343,1,2015-01-15,2015
Features_and_triggers,2015-01-16,2015-01-15,42716,3,2015-01-20,2015
Features_and_triggers,2015-01-21,2015-01-20,374583,4,2015-01-26,2015
Features_and_triggers,2015-01-27,2015-01-26,640934,1,2015-01-27,2015
Features_and_triggers,2015-01-28,2015-01-27,640934,1,2015-01-28,2015
Features_and_triggers,2015-01-29,2015-01-28,640934,4,2015-02-03,2015
Features_and_triggers,2015-02-04,2015-02-03,550343,5,2015-02-10,2015
Features_and_triggers,2015-02-11,2015-02-10,550343,4,2015-02-15,2015
Features_and_triggers,2015-02-16,2015-02-15,550343,3,2015-02-18,2015
Features_and_triggers,2015-02-19,2015-02-18,550343,3,2015-02-23,2015
Features_and_triggers,2015-02-24,2015-02-23,640934,3,2015-02-26,2015
Features_and_triggers,2015-02-27,2015-02-26,640934,4,2015-03-03,2015
Features_and_triggers,2015-03-04,2015-03-03,42716,3,2015-03-06,2015
Features_and_triggers,2015-03-09,2015-03-06,42716,1,2015-03-09,2015
Features_and_triggers,2015-03-10,2015-03-09,42716,1,2015-03-10,2015
Features_and_triggers,2015-03-11,2015-03-10,42716,4,2015-03-16,2015
Features_and_triggers,2015-03-17,2015-03-16,42716,1,2015-03-17,2015
Features_and_triggers,2015-03-18,2015-03-17,42716,1,2015-03-18,2015
Features_and_triggers,2015-03-19,2015-03-18,42716,1,2015-03-19,2015
Features_and_triggers,2015-03-20,2015-03-19,42716,1,2015-03-20,2015
Features_and_triggers,2015-03-23,2015-03-20,42716,4,2015-03-26,2015
Features_and_triggers,2015-03-27,2015-03-26,42716,1,2015-03-27,2015
Features_and_triggers,2015-03-30,2015-03-27,42716,1,2015-03-30,2015
Features_and_triggers,2015-03-31,2015-03-30,42716,1,2015-03-31,2015
Features_and_triggers,2015-04-01,2015-03-31,550343,1,2015-04-01,2015
Features_and_triggers,2015-04-02,2015-04-01,550343,5,2015-04-08,2015
Features_and_triggers,2015-04-09,2015-04-08,965409,3,2015-04-13,2015
Features_and_triggers,2015-04-14,2015-04-13,965409,1,2015-04-14,2015
Features_and_triggers,2015-04-15,2015-04-14,965409,3,2015-04-17,2015
Features_and_triggers,2015-04-20,2015-04-17,374583,1,2015-04-20,2015
Features_and_triggers,2015-04-21,2015-04-20,374583,1,2015-04-21,2015
Features_and_triggers,2015-04-22,2015-04-21,374583,3,2015-04-24,2015
Features_and_triggers,2015-04-27,2015-04-24,374583,1,2015-04-27,2015
Features_and_triggers,2015-04-28,2015-04-27,374583,1,2015-04-28,2015
Features_and_triggers,2015-04-29,2015-04-28,374583,2,2015-04-30,2015
Features_and_triggers,2015-05-01,2015-04-30,374583,3,2015-05-05,2015
Features_and_triggers,2015-05-06,2015-05-05,374583,2,2015-05-07,2015
Features_and_triggers,2015-05-08,2015-05-07,374583,2,2015-05-11,2015
Features_and_triggers,2015-05-12,2015-05-11,374583,2,2015-05-13,2015
Features_and_triggers,2015-05-14,2015-05-13,374583,1,2015-05-14,2015
Features_and_triggers,2015-05-15,2015-05-14,374583,5,2015-05-21,2015
Features_and_triggers,2015-05-22,2015-05-21,374583,2,2015-05-25,2015
Features_and_triggers,2015-05-26,2015-05-25,374583,3,2015-05-28,2015
Features_and_triggers,2015-05-29,2015-05-28,374583,2,2015-06-01,2015
Features_and_triggers,2015-06-02,2015-06-01,374583,1,2015-06-02,2015
Features_and_triggers,2015-06-03,2015-06-02,374583,2,2015-06-04,2015
Features_and_triggers,2015-06-05,2015-06-04,374583,2,2015-06-08,2015
Features_and_triggers,2015-06-09,2015-06-08,374583,1,2015-06-09,2015
Features_and_triggers,2015-06-10,2015-06-09,374583,1,2015-06-10,2015
Features_and_triggers,2015-06-11,2015-06-10,374583,1,2015-06-11,2015
Features_and_triggers,2015-06-12,2015-06-11,374583,1,2015-06-12,2015
Features_and_triggers,2015-06-15,2015-06-12,374583,1,2015-06-15,2015
Features_and_triggers,2015-06-16,2015-06-15,374583,4,2015-06-19,2015
Features_and_triggers,2015-06-22,2015-06-19,385735,1,2015-06-22,2015
Features_and_triggers,2015-06-23,2015-06-22,385735,1,2015-06-23,2015
Features_and_triggers,2015-06-24,2015-06-23,385735,1,2015-06-24,2015
Features_and_triggers,2015-06-25,2015-06-24,385735,1,2015-06-25,2015
Features_and_triggers,2015-06-26,2015-06-25,374583,1,2015-06-26,2015
Features_and_triggers,2015-06-29,2015-06-26,374583,5,2015-07-03,2015
Features_and_triggers,2015-07-06,2015-07-03,374583,4,2015-07-09,2015
Features_and_triggers,2015-07-10,2015-07-09,385735,2,2015-07-13,2015
Features_and_triggers,2015-07-14,2015-07-13,385735,2,2015-07-15,2015
Features_and_triggers,2015-07-16,2015-07-15,374583,1,2015-07-16,2015
Features_and_triggers,2015-07-17,2015-07-16,374583,1,2015-07-17,2015
Features_and_triggers,2015-07-20,2015-07-17,385735,1,2015-07-20,2015
Features_and_triggers,2015-07-21,2015-07-20,385735,3,2015-07-23,2015
Features_and_triggers,2015-07-24,2015-07-23,385735,1,2015-07-24,2015
Features_and_triggers,2015-07-27,2015-07-24,374583,5,2015-07-31,2015
Features_and_triggers,2015-08-03,2015-07-31,798291,6,2015-08-10,2015
Features_and_triggers,2015-08-11,2015-08-10,42716,6,2015-08-18,2015
Features_and_triggers,2015-08-19,2015-08-18,42716,2,2015-08-20,2015
Features_and_triggers,2015-08-21,2015-08-20,385735,1,2015-08-21,2015
Features_and_triggers,2015-08-24,2015-08-21,385735,1,2015-08-24,2015
Features_and_triggers,2015-08-25,2015-08-24,385735,1,2015-08-25,2015
Features_and_triggers,2015-08-26,2015-08-25,385735,1,2015-08-26,2015
Features_and_triggers,2015-08-27,2015-08-26,385735,1,2015-08-27,2015
Features_and_triggers,2015-08-28,2015-08-27,385735,7,2015-09-06,2015
Features_and_triggers,2015-09-07,2015-09-06,42716,1,2015-09-07,2015
Features_and_triggers,2015-09-08,2015-09-07,42716,2,2015-09-09,2015
Features_and_triggers,2015-09-10,2015-09-09,374583,3,2015-09-14,2015
Features_and_triggers,2015-09-15,2015-09-14,42716,1,2015-09-15,2015
Features_and_triggers,2015-09-16,2015-09-15,42716,1,2015-09-16,2015
Features_and_triggers,2015-09-17,2015-09-16,565766,2,2015-09-18,2015
Features_and_triggers,2015-09-21,2015-09-18,565766,2,2015-09-22,2015
Features_and_triggers,2015-09-23,2015-09-22,565766,6,2015-09-30,2015
Features_and_triggers,2015-10-01,2015-09-30,565766,8,2015-10-10,2015
Features_and_triggers,2015-10-12,2015-10-10,798291,3,2015-10-14,2015
Features_and_triggers,2015-10-15,2015-10-14,385735,1,2015-10-15,2015
Features_and_triggers,2015-10-16,2015-10-15,385735,1,2015-10-16,2015
Features_and_triggers,2015-10-19,2015-10-16,385735,3,2015-10-21,2015
Features_and_triggers,2015-10-22,2015-10-21,798291,2,2015-10-23,2015
Features_and_triggers,2015-10-26,2015-10-23,798291,2,2015-10-27,2015
Features_and_triggers,2015-10-28,2015-10-27,385735,5,2015-11-03,2015
Features_and_triggers,2015-11-04,2015-11-03,385735,2,2015-11-05,2015
Features_and_triggers,2015-11-06,2015-11-05,385735,1,2015-11-06,2015
Features_and_triggers,2015-11-09,2015-11-06,385735,2,2015-11-10,2015
Features_and_triggers,2015-11-11,2015-11-10,385735,2,2015-11-12,2015
Features_and_triggers,2015-11-13,2015-11-12,385735,4,2015-11-18,2015
Features_and_triggers,2015-11-19,2015-11-18,798291,1,2015-11-19,2015
Features_and_triggers,2015-11-20,2015-11-19,741131,1,2015-11-20,2015
Features_and_triggers,2015-11-23,2015-11-20,741131,1,2015-11-23,2015
Features_and_triggers,2015-11-24,2015-11-23,741131,1,2015-11-24,2015
Features_and_triggers,2015-11-25,2015-11-24,741131,5,2015-12-01,2015
Features_and_triggers,2015-12-02,2015-12-01,741131,1,2015-12-02,2015
Features_and_triggers,2015-12-03,2015-12-02,741131,1,2015-12-03,2015
Features_and_triggers,2015-12-04,2015-12-03,741131,12,2015-12-21,2015
Features_and_triggers,2015-12-22,2015-12-21,741131,1,2015-12-22,2015
Features_and_triggers,2015-12-23,2015-12-22,741131,7,2015-12-31,2015
Features_only,2016-01-01,,741131,5,2016-01-07,2016
Features_only,2016-01-08,2016-01-07,640934,1,2016-01-08,2016
Features_only,2016-01-11,2016-01-08,640934,9,2016-01-21,2016
Features_only,2016-01-22,2016-01-21,565766,9,2016-02-03,2016
Features_only,2016-02-04,2016-02-03,565766,4,2016-02-08,2016
Features_only,2016-02-09,2016-02-08,565766,11,2016-02-22,2016
Features_only,2016-02-23,2016-02-22,565766,2,2016-02-24,2016
Features_only,2016-02-25,2016-02-24,565766,2,2016-02-26,2016
Features_only,2016-02-29,2016-02-26,565766,2,2016-03-01,2016
Features_only,2016-03-02,2016-03-01,565766,3,2016-03-04,2016
Features_only,2016-03-07,2016-03-04,565766,1,2016-03-07,2016
Features_only,2016-03-08,2016-03-07,565766,7,2016-03-16,2016
Features_only,2016-03-17,2016-03-16,550343,1,2016-03-17,2016
Features_only,2016-03-18,2016-03-17,550343,4,2016-03-23,2016
Features_only,2016-03-24,2016-03-23,385735,7,2016-04-01,2016
Features_only,2016-04-04,2016-04-01,550343,7,2016-04-12,2016
Features_only,2016-04-13,2016-04-12,640934,6,2016-04-20,2016
Features_only,2016-04-21,2016-04-20,640934,4,2016-04-26,2016
Features_only,2016-04-27,2016-04-26,640934,3,2016-04-29,2016
Features_only,2016-05-02,2016-04-29,965409,2,2016-05-03,2016
Features_only,2016-05-04,2016-05-03,965409,1,2016-05-04,2016
Features_only,2016-05-05,2016-05-04,741131,3,2016-05-09,2016
Features_only,2016-05-10,2016-05-09,965409,11,2016-05-24,2016
Features_only,2016-05-25,2016-05-24,785634,1,2016-05-25,2016
Features_only,2016-05-26,2016-05-25,965409,7,2016-06-03,2016
Features_only,2016-06-06,2016-06-03,965409,4,2016-06-09,2016
Features_only,2016-06-10,2016-06-09,965409,8,2016-06-20,2016
Features_only,2016-06-21,2016-06-20,965409,3,2016-06-23,2016
Features_only,2016-06-24,2016-06-23,965409,1,2016-06-24,2016
Features_only,2016-06-27,2016-06-24,965409,2,2016-06-28,2016
Features_only,2016-06-29,2016-06-28,965409,1,2016-06-29,2016
Features_only,2016-06-30,2016-06-29,965409,1,2016-06-30,2016
Features_only,2016-07-01,2016-06-30,965409,1,2016-07-01,2016
Features_only,2016-07-04,2016-07-01,965409,3,2016-07-06,2016
Features_only,2016-07-07,2016-07-06,965409,3,2016-07-11,2016
Features_only,2016-07-12,2016-07-11,785634,1,2016-07-12,2016
Features_only,2016-07-13,2016-07-12,785634,4,2016-07-18,2016
Features_only,2016-07-19,2016-07-18,785634,1,2016-07-19,2016
Features_only,2016-07-20,2016-07-19,785634,2,2016-07-21,2016
Features_only,2016-07-22,2016-07-21,785634,24,2016-08-24,2016
Features_only,2016-08-25,2016-08-24,785634,5,2016-08-31,2016
Features_only,2016-09-01,2016-08-31,785634,17,2016-09-22,2016
Features_only,2016-09-23,2016-09-22,785634,3,2016-09-27,2016
Features_only,2016-09-28,2016-09-27,785634,4,2016-10-03,2016
Features_only,2016-10-04,2016-10-03,785634,9,2016-10-12,2016
Features_only,2016-10-13,2016-10-12,965409,2,2016-10-14,2016
Features_only,2016-10-17,2016-10-14,965409,2,2016-10-18,2016
Features_only,2016-10-19,2016-10-18,965409,3,2016-10-21,2016
Features_only,2016-10-24,2016-10-21,965409,1,2016-10-24,2016
Features_only,2016-10-25,2016-10-24,965409,6,2016-11-01,2016
Features_only,2016-11-02,2016-11-01,965409,1,2016-11-02,2016
Features_only,2016-11-03,2016-11-02,965409,1,2016-11-03,2016
Features_only,2016-11-04,2016-11-03,965409,6,2016-11-11,2016
Features_only,2016-11-14,2016-11-11,965409,16,2016-12-05,2016
Features_only,2016-12-06,2016-12-05,965409,2,2016-12-07,2016
Features_only,2016-12-08,2016-12-07,965409,6,2016-12-15,2016
Features_only,2016-12-16,2016-12-15,965409,2,2016-12-19,2016
Features_only,2016-12-20,2016-12-19,965409,5,2016-12-26,2016
Features_only,2016-12-27,2016-12-26,965409,2,2016-12-28,2016
Features_only,2016-12-29,2016-12-28,965409,2,2016-12-30,2016
Features_only,2016-12-31,2016-12-30,965409,1,2016-12-31,2016
Triggers_only,2016-01-01,,741131,1,2016-01-01,2016
Triggers_only,2016-01-04,2016-01-01,640934,3,2016-01-06,2016
Triggers_only,2016-01-07,2016-01-06,640934,1,2016-01-07,2016
Triggers_only,2016-01-08,2016-01-07,640934,1,2016-01-08,2016
Triggers_only,2016-01-11,2016-01-08,640934,7,2016-01-19,2016
Triggers_only,2016-01-20,2016-01-19,640934,2,2016-01-21,2016
Triggers_only,2016-01-22,2016-01-21,565766,1,2016-01-22,2016
Triggers_only,2016-01-25,2016-01-22,565766,2,2016-01-26,2016
Triggers_only,2016-01-27,2016-01-26,565766,5,2016-02-02,2016
Triggers_only,2016-02-03,2016-02-02,565766,1,2016-02-03,2016
Triggers_only,2016-02-04,2016-02-03,565766,3,2016-02-06,2016
Triggers_only,2016-02-08,2016-02-06,565766,1,2016-02-08,2016
Triggers_only,2016-02-09,2016-02-08,565766,4,2016-02-12,2016
Triggers_only,2016-02-14,2016-02-12,565766,7,2016-02-22,2016
Triggers_only,2016-02-23,2016-02-22,565766,2,2016-02-24,2016
Triggers_only,2016-02-25,2016-02-24,565766,2,2016-02-26,2016
Triggers_only,2016-02-29,2016-02-26,565766,1,2016-02-29,2016
Triggers_only,2016-03-01,2016-02-29,565766,1,2016-03-01,2016
Triggers_only,2016-03-02,2016-03-01,565766,3,2016-03-04,2016
Triggers_only,2016-03-07,2016-03-04,565766,1,2016-03-07,2016
Triggers_only,2016-03-08,2016-03-07,565766,1,2016-03-08,2016
Triggers_only,2016-03-09,2016-03-08,550343,6,2016-03-16,2016
Triggers_only,2016-03-17,2016-03-16,550343,1,2016-03-17,2016
Triggers_only,2016-03-18,2016-03-17,550343,2,2016-03-21,2016
Triggers_only,2016-03-22,2016-03-21,550343,2,2016-03-23,2016
Triggers_only,2016-03-24,2016-03-23,385735,1,2016-03-24,2016
Triggers_only,2016-03-25,2016-03-24,550343,6,2016-04-01,2016
Triggers_only,2016-04-04,2016-04-01,550343,7,2016-04-12,2016
Triggers_only,2016-04-13,2016-04-12,640934,6,2016-04-20,2016
Triggers_only,2016-04-21,2016-04-20,640934,4,2016-04-26,2016
Triggers_only,2016-04-27,2016-04-26,640934,3,2016-04-29,2016
Triggers_only,2016-05-02,2016-04-29,965409,2,2016-05-03,2016
Triggers_only,2016-05-04,2016-05-03,965409,1,2016-05-04,2016
Triggers_only,2016-05-05,2016-05-04,741131,3,2016-05-09,2016
Triggers_only,2016-05-10,2016-05-09,965409,11,2016-05-24,2016
Triggers_only,2016-05-25,2016-05-24,785634,1,2016-05-25,2016
Triggers_only,2016-05-26,2016-05-25,965409,7,2016-06-03,2016
Triggers_only,2016-06-06,2016-06-03,965409,4,2016-06-09,2016
Triggers_only,2016-06-10,2016-06-09,965409,8,2016-06-20,2016
Triggers_only,2016-06-21,2016-06-20,965409,3,2016-06-23,2016
