,A_500,Dollar Index,cn_10y_rate,us_10y_rate,brent,Copper Futures Price,Gold Futures Price
2012-09-18,853.8095576845183,79.25,3.5216,1.82,113.29,3.7915,1109.619174621752
2012-09-19,858.3402172161432,79.05999755859375,3.5166,1.79,108.49,3.818,1109.9956417136261
2012-09-20,838.8746775221506,79.41000366210938,3.5171,1.8,109.41,3.763,1109.1798991849469
2012-09-21,838.2195593250358,79.33000183105469,3.4998,1.77,111.27,3.793,1114.0742011659372
2012-09-24,843.679361562818,79.5199966430664,3.4956,1.74,109.2,3.7355,1105.666078668218
2012-09-25,840.9986396770067,79.55000305175781,3.4676,1.7,110.77,3.762,1106.732824789994
2012-09-26,830.0126160158069,79.88999938964844,3.4444,1.64,108.99,3.712,1098.4501657910519
2012-09-27,853.1232260996186,79.55000305175781,3.4525,1.66,111.45,3.744,1115.3918742852677
2012-09-28,868.2559120334142,79.94000244140625,3.4575,1.65,111.36,3.758,1111.3133148329566
2012-09-29,860.4144557183652,79.81999969482422,3.4574,1.64,112.58,3.7855,1112.8192597959953
2012-10-01,860.4144557183652,79.81999969482422,3.4814,1.64,112.58,3.7855,1112.8192597959953
2012-10-02,860.4144557183652,79.73999786376953,3.4814,1.64,112.49,3.801,1112.8192597959953
2012-10-03,860.4144557183652,79.97000122070312,3.4814,1.64,109.32,3.784,1112.8192597959953
2012-10-04,860.4144557183652,79.3499984741211,3.4814,1.7,110.48,3.786,1112.8192597959953
2012-10-05,860.4144557183652,79.33999633789062,3.4814,1.75,112.17,3.778,1112.8192597959953
2012-10-08,860.4144557183652,79.54000091552734,3.4814,1.74,112.6,3.718,1112.8192597959953
2012-10-09,879.3885660279295,79.94999694824219,3.4921,1.74,114.32,3.718,1106.2308176038002
2012-10-10,881.6972678849082,79.91999816894531,3.5036,1.72,116.11,3.718,1106.3562811025777
2012-10-11,872.9404608257466,79.77999877929688,3.499,1.7,116.18,3.7515,1109.870178214849
2012-10-12,872.4657269743193,79.69000244140625,3.4807,1.69,115.17,3.703,1103.0934641789456
2012-10-15,869.0351578889296,79.73999786376953,3.473,1.7,115.0,3.7015,1089.2891091095844
2012-10-16,870.5279563070643,79.37000274658203,3.4903,1.75,115.0,3.7,1094.7480734306148
2012-10-17,871.6962806707829,79.0199966430664,3.5036,1.83,113.49,3.748,1099.0149047266345
2012-10-18,884.4937696626195,79.37000274658203,3.519,1.86,112.58,3.743,1093.8696757480895
2012-10-19,883.2673738797661,79.63999938964844,3.535,1.79,111.89,3.6375,1081.0065267061848
2012-10-22,886.0754899413043,79.6500015258789,3.5293,1.83,109.62,3.622,1082.4496633242925
2012-10-23,875.621908604297,79.9800033569336,3.5454,1.79,107.53,3.5695,1071.908201774106
2012-10-24,875.5264537090941,79.97000122070312,3.5478,1.8,107.66,3.568,1067.0138997931153
2012-10-25,869.3088194516024,80.04000091552734,3.5672,1.86,107.64,3.5505,1074.2298126702815
2012-10-26,853.0473703083737,80.06999969482422,3.5727,1.78,108.9,3.55,1073.539610235922
2012-10-29,854.4908080202437,79.91999816894531,3.5668,1.74,109.33,3.4945,1077.6809014376217
2012-10-30,854.4908080202437,79.91999816894531,3.5648,1.72,109.4,3.5115,1077.6809014376217
2012-10-31,854.4908080202437,79.91999816894531,3.5739,1.72,109.89,3.523,1077.6809014376217
2012-11-01,869.3407587321267,80.05000305175781,3.5984,1.75,108.84,3.5575,1075.547485789612
2012-11-02,872.5107323241488,80.58999633789062,3.5852,1.75,106.79,3.487,1050.4486583907735
2012-11-05,871.2161026238119,80.75,3.5872,1.72,105.59,3.4755,1055.53115561993
2012-11-06,866.9928586672319,80.61000061035156,3.5771,1.78,109.27,3.512,1075.547485789612
2012-11-07,866.2346637011528,80.76000213623047,3.5644,1.68,108.21,3.4475,1074.9827468540295
2012-11-08,850.6918483697175,80.79000091552734,3.5609,1.62,107.23,3.4755,1082.637935168001
2012-11-09,848.7283085102213,81.02999877929688,3.5594,1.61,108.61,3.452,1085.7125568434672
2012-11-12,851.9966405684031,81.04000091552734,3.5585,1.59,110.23,3.4745,1085.7125568434672
2012-11-13,838.1890718299901,81.08000183105469,3.547,1.59,108.82,3.478,1081.88492438871
2012-11-14,841.9600846100577,81.05999755859375,3.5356,1.59,109.66,3.4605,1085.2105496572733
2012-11-15,830.6742672475744,81.08000183105469,3.5279,1.58,110.07,3.469,1075.0455551989608
2012-11-16,824.2584642722852,81.26000213623047,3.5133,1.58,106.81,3.4575,1075.6730258839318
2012-11-19,823.1489372204405,80.87000274658203,3.501,1.61,110.06,3.533,1088.0341677396425
2012-11-20,819.7934980335565,80.95999908447266,3.5111,1.66,110.01,3.5215,1081.2574537037392
2012-11-21,829.6228116148646,80.93000030517578,3.5205,1.69,110.81,3.501,1084.2066118804282
2012-11-22,828.2726511199799,80.19000244140625,3.5357,1.7,110.14,3.533,1098.889441227857
2012-11-23,828.2726511199799,80.19000244140625,3.5428,1.7,110.14,3.533,1098.889441227857
2012-11-26,821.8604776083866,80.25,3.5511,1.66,110.18,3.543,1097.7599633566924
2012-11-27,810.1177107665864,80.4000015258789,3.557,1.64,109.33,3.545,1093.1793967181873
2012-11-28,801.3888505778832,80.33999633789062,3.5535,1.63,108.26,3.5315,1077.0534307526507
2012-11-29,797.887506950423,80.19999694824219,3.5311,1.62,110.47,3.6015,1083.7673364436232
2012-11-30,806.9735063668053,80.1500015258789,3.5332,1.62,110.84,3.645,1073.539610235922
2012-12-03,794.663091402962,79.87999725341797,3.5397,1.63,111.27,3.6535,1078.9985745569522
2012-12-04,802.7836534762278,79.63999938964844,3.5498,1.62,109.99,3.6495,1063.186343933901
2012-12-05,830.551591374652,79.7699966430664,3.5622,1.6,108.96,3.681,1061.9314025639592
2012-12-06,829.0159652849057,80.26000213623047,3.558,1.59,108.01,3.6395,1066.8884362943384
2012-12-07,845.0505729471389,80.41999816894531,3.5689,1.64,107.16,3.658,1069.2100471905137
2012-12-10,854.4875415029173,80.33000183105469,3.5707,1.63,108.25,3.7015,1074.8572833552523
2012-12-11,849.2393369986077,80.05999755859375,3.5658,1.66,107.6,3.682,1071.8453934291747
2012-12-12,852.2742945411414,79.88999938964844,3.5666,1.72,110.17,3.712,1077.1161625020393
2012-12-13,842.726990289007,79.93000030517578,3.5649,1.74,110.18,3.656,1063.9392781176493
2012-12-14,882.6906520984833,79.5999984741211,3.5781,1.72,109.28,3.678,1064.064818211969
2012-12-17,887.122590217579,79.56999969482422,3.5814,1.78,109.35,3.6615,1064.8177523957172
2012-12-18,888.3123284171038,79.36000061035156,3.5843,1.84,109.96,3.648,1047.5623085590157
2012-12-19,890.073707148737,79.25,3.5942,1.82,109.95,3.6,1045.6798965041028
2012-12-20,894.0682948924735,79.26000213623047,3.6086,1.81,110.57,3.5305,1032.1265450278388
2012-12-21,890.3397468376482,79.62000274658203,3.606,1.77,109.13,3.562,1041.0365981162092
2012-12-24,893.654536031138,79.63999938964844,3.6009,1.79,108.44,3.541,1040.7228627737238
2012-12-25,921.8754309988138,79.62000274658203,3.5955,1.77,110.72,3.591,1041.4758735530145
2012-12-26,921.8754309988138,79.62000274658203,3.5925,1.77,110.72,3.591,1041.4758735530145
2012-12-27,916.7727679887109,79.62000274658203,3.5803,1.74,110.04,3.5965,1043.2327455136076
2012-12-28,928.2803455830152,79.68000030517578,3.5752,1.73,110.05,3.5895,1038.4012518775482
2012-12-31,942.9386606117533,79.7699966430664,3.5738,1.78,110.8,3.6525,1050.887933827579
2013-01-01,942.4000481992779,79.8499984741211,3.6062,1.86,112.98,3.736,1034.1344205815285
2013-01-02,942.4000481992779,79.8499984741211,3.6062,1.86,112.98,3.736,1034.1344205815285
2013-01-03,942.4000481992779,80.43000030517578,3.6062,1.92,113.03,3.717,1034.1344205815285
2013-01-04,942.4000481992779,80.5,3.6062,1.93,112.58,3.6935,1034.1344205815285
2013-01-05,949.0234564979739,80.26000213623047,3.6003,1.92,112.49,3.679,1032.5030121197128
2013-01-06,949.0234564979739,80.26000213623047,3.595,1.92,112.49,3.679,1032.5030121197128
2013-01-07,949.0234564979739,80.26000213623047,3.5965,1.92,112.49,3.678,1032.5030121197128
2013-01-08,948.0093843413322,80.3499984741211,3.5943,1.89,113.03,3.672,1042.5425430792482
2013-01-09,947.9767191680688,80.55999755859375,3.575,1.88,113.07,3.6705,1038.3385201281596
2013-01-10,950.2523929054146,79.73999786376953,3.595,1.91,112.97,3.709,1052.456610540006
2013-01-11,933.2240380832366,79.55999755859375,3.5999,1.89,110.3,3.654,1041.6013370517917
2013-01-13,967.222676308458,79.48999786376953,3.6023,1.89,111.32,3.639,1047.1858414671415
2013-01-14,967.222676308458,79.48999786376953,3.6023,1.89,111.32,3.634,1047.1858414671415
2013-01-15,975.7105401077515,79.77999877929688,3.6008,1.86,111.72,3.6375,1056.2841663992206
2013-01-16,970.0449472784104,79.80000305175781,3.6047,1.84,110.97,3.6065,1055.8448909624153
2013-01-17,959.9710078439969,79.6500015258789,3.5986,1.89,111.01,3.662,1060.6764611940173
2013-01-18,975.4390562232961,80.05000305175781,3.5834,1.87,111.71,3.679,1058.2920419529105
2013-01-20,975.9566177463354,79.87000274658203,3.5743,1.86,112.72,3.663,1062.1824061570562
2013-01-21,975.9566177463354,79.87000274658203,3.5743,1.86,112.72,3.705,1062.1824061570562
2013-01-22,975.9566177463354,79.87000274658203,3.5705,1.86,112.72,3.705,1062.1824061570562
2013-01-23,980.8034035658754,79.91999816894531,3.5682,1.86,113.68,3.6845,1058.1038467047447
2013-01-24,969.8213723147413,79.94999694824219,3.5816,1.88,114.59,3.6765,1047.5623085590157
2013-01-25,967.0956450791006,79.75,3.5837,1.98,113.88,3.652,1039.3424579050045
2013-01-27,995.0047691152964,79.77999877929688,3.6042,2.0,113.92,3.639,1036.832575165121
2013-01-28,995.0047691152964,79.77999877929688,3.6042,2.0,113.92,3.6615,1036.832575165121
2013-01-29,1002.8400553420624,79.55999755859375,3.6116,2.03,115.22,3.6915,1042.0405358930543
2013-01-30,1006.849886833322,79.27999877929688,3.6053,2.03,115.42,3.758,1054.0880190018222
2013-01-31,1006.6034462483686,79.20999908447266,3.6054,2.02,115.55,3.7395,1041.9778041436655
2013-02-01,1025.2559860744736,79.12999725341797,3.6004,2.04,115.55,3.7915,1047.4995768096271
2013-02-03,1025.6624860084175,79.55000305175781,3.6016,2.0,116.06,3.776,1051.2016691700644
2013-02-04,1025.6624860084175,79.55000305175781,3.6016,2.0,116.06,3.7755,1051.2016691700644
2013-02-05,1034.511118499086,79.48999786376953,3.591,2.04,117.03,3.7775,1049.3819888645398
2013-02-06,1037.0027453263394,79.72000122070312,3.5922,2.0,116.61,3.7485,1052.7075375375605
2013-02-07,1032.281901897048,80.19000244140625,3.5928,1.99,117.17,3.736,1048.1270474945982
2013-02-08,1038.982254826098,80.25,3.5859,1.99,118.9,3.7685,1045.3661611616174
2013-02-11,1012.4668448491378,80.30999755859375,3.5922,1.99,118.29,3.7315,1006.2119751003211
2013-02-12,1012.4668448491378,80.11000061035156,3.5922,2.02,117.89,3.753,1006.2119751003211
2013-02-13,1012.4668448491378,80.08999633789062,3.5922,2.05,118.43,3.7515,1006.2119751003211
2013-02-14,1012.4668448491378,80.45999908447266,3.5922,2.0,118.48,3.7455,1006.2119751003211
2013-02-15,1012.4668448491378,80.58000183105469,3.5922,2.03,117.4,3.746,1006.2119751003211
2013-02-16,1012.4668448491378,80.47000122070312,3.5922,2.03,117.04,3.659,1006.2119751003211
2013-02-17,1012.4668448491378,80.47000122070312,3.5847,2.03,117.04,3.659,1006.2119751003211
2013-02-18,1012.4668448491378,80.47000122070312,3.5929,2.03,117.04,3.659,1006.2119751003211
2013-02-19,1012.4668448491378,80.47000122070312,3.5931,2.03,117.04,3.659,1006.2119751003211
2013-02-20,1021.4417826764246,81.08999633789062,3.5632,2.02,116.23,3.617,989.897737291076
2013-02-21,989.2854602232554,81.45999908447266,3.5623,1.99,114.19,3.562,990.2742043829501
2013-02-22,983.7106039863125,81.4800033569336,3.5708,1.97,113.74,3.5425,986.6349203674441
2013-02-25,988.1951693289992,81.66999816894531,3.5821,1.88,114.55,3.552,995.2939698627177
2013-02-26,974.5491117250551,81.87000274658203,3.5948,1.88,112.96,3.5745,1013.4906197268756
2013-02-27,981.569220405716,81.5999984741211,3.5904,1.91,112.24,3.567,1000.9412060274565
2013-02-28,1009.2177489485443,81.9800033569336,3.5957,1.89,112.2,3.5475,989.9604690404647
2013-03-01,1010.3588523345435,82.30999755859375,3.5878,1.86,110.14,3.501,986.3211850249587
2013-03-04,968.737251508768,82.22000122070312,3.5785,1.88,109.9,3.5015,986.4466485237358
2013-03-05,996.9889969178594,82.08999633789062,3.576,1.9,110.42,3.515,988.0153252361632
2013-03-06,1009.8089885846107,82.45999908447266,3.5802,1.95,110.27,3.493,988.0153252361632
2013-03-07,996.8732170259593,82.08000183105469,3.5813,2.0,110.42,3.5205,988.1408653304829
2013-03-08,992.1447517229064,82.69999694824219,3.5816,2.06,108.91,3.509,989.2702666061052
2013-03-11,986.9484485494485,82.56999969482422,3.583,2.07,108.64,3.517,990.0232773853959
2013-03-12,970.6873623525894,82.58000183105469,3.5897,2.03,108.48,3.5545,998.6195951312809
2013-03-13,960.8936175155015,82.88999938964844,3.5898,2.04,107.51,3.525,996.6117195775909
2013-03-14,963.9343821999486,82.61000061035156,3.5919,2.04,108.1,3.5365,998.0548561956986
2013-03-15,966.6332514042394,82.26000213623047,3.5919,2.01,109.32,3.5205,999.2470658162518
2013-03-18,952.6881259917509,82.69000244140625,3.5971,1.96,108.54,3.428,1006.839445785292
2013-03-19,958.6582308251803,82.98999786376953,3.5922,1.92,106.91,3.4055,1011.0435453319228
2013-03-20,989.21033032475,82.77999877929688,3.5722,1.96,108.27,3.4465,1008.6591260908162
2013-03-21,993.3098095692989,82.80000305175781,3.5819,1.95,106.41,3.435,1012.6122220443503
2013-03-22,994.6037133768966,82.52999877929688,3.5816,1.93,106.51,3.466,1007.843383562137
2013-03-25,992.4579744398649,82.87000274658203,3.577,1.93,106.66,3.445,1006.839445785292
2013-03-26,980.0252465494689,82.87999725341797,3.5717,1.92,107.1,3.4425,1001.3177497148731
2013-03-27,982.668584959212,83.20999908447266,3.5611,1.87,108.51,3.4535,1007.843383562137
2013-03-28,952.6100925222885,82.98999786376953,3.5505,1.87,108.46,3.4125,1000.6902790299022
2013-03-29,952.2950550734821,82.7300033569336,3.5392,1.86,108.76,3.385,1003.9530959535341
2013-04-01,952.2950550734821,82.7300033569336,3.5303,1.86,108.76,3.385,1003.9530959535341
2013-04-02,946.1220632194505,82.94000244140625,3.5106,1.88,109.66,3.389,988.3290605786486
2013-04-03,945.1794914976183,82.72000122070312,3.5005,1.83,107.82,3.343,974.3365102611219
2013-04-04,943.4224681224204,82.68000030517578,3.4907,1.78,105.09,3.3615,986.3839167743472
2013-04-05,943.4224681224204,82.5,3.4907,1.72,103.98,3.354,986.3839167743472
2013-04-07,943.4224681224204,82.75,3.4907,1.76,103.16,3.381,986.3839167743472
2013-04-08,943.4224681224204,82.75,3.4905,1.76,103.16,3.381,986.3839167743472
2013-04-09,949.8771063592559,82.30999755859375,3.4705,1.78,104.08,3.4515,995.2939698627177
2013-04-10,948.4369351647123,82.52999877929688,3.4624,1.84,104.8,3.4285,977.7875990284622
2013-04-11,946.3474529149673,82.25,3.4705,1.82,103.62,3.4445,981.552423138288
2013-04-12,940.7421091829787,82.30999755859375,3.4655,1.75,100.58,3.3605,941.8334981414091
2013-04-15,930.0282952989735,82.41999816894531,3.4405,1.72,99.32,3.2825,853.736598652378
2013-04-16,937.14131825025,81.75,3.4005,1.75,97.88,3.315,870.1763765559427
2013-04-17,938.562616233575,82.66000366210938,3.4131,1.73,96.84,3.1955,867.2899501286422
2013-04-18,941.0230296730434,82.55000305175781,3.4431,1.72,97.48,3.212,873.4391934795747
2013-04-19,965.8108149307425,82.70999908447266,3.4503,1.73,98.94,3.156,875.5098773781958
2013-04-22,967.4665762688242,82.68000030517578,3.4867,1.72,99.07,3.137,891.6358433437325
2013-04-23,938.5916519431423,83.02999877929688,3.4629,1.74,99.25,3.0975,883.855191530984
2013-04-24,956.6373454392884,82.93000030517578,3.4498,1.73,100.71,3.1605,893.1417883067712
2013-04-25,945.3228553136074,82.73999786376953,3.4314,1.74,101.62,3.239,917.2366779287646
2013-04-26,935.4169600483153,82.4800033569336,3.4313,1.7,102.39,3.182,912.0913723546772
2013-04-27,937.2799637634345,82.1500015258789,3.4311,1.7,102.88,3.2265,920.9386936936592
2013-04-28,937.2799637634345,82.1500015258789,3.4314,1.7,102.88,3.2265,920.9386936936592
2013-04-29,937.2799637634345,82.1500015258789,3.4119,1.7,102.88,3.2265,920.9386936936592
2013-04-30,937.2799637634345,81.7300033569336,3.4119,1.7,101.53,3.1875,920.9386936936592
2013-05-01,937.2799637634345,81.63999938964844,3.4119,1.66,98.34,3.08,920.9386936936592
2013-05-02,937.2799637634345,82.20999908447266,3.4119,1.66,100.32,3.1045,920.9386936936592
2013-05-03,953.6524744957586,82.0999984741211,3.4212,1.78,104.6,3.3145,918.805354641192
2013-05-06,967.3261160237919,82.31999969482422,3.4354,1.8,105.0,3.3105,921.1896972867562
2013-05-07,969.0635402950319,82.30000305175781,3.4261,1.82,105.18,3.3025,909.2050225229193
2013-05-08,975.8197869649989,81.9000015258789,3.4345,1.81,103.79,3.3705,924.8290578978047
2013-05-09,972.0607514151278,82.79000091552734,3.4317,1.81,103.59,3.3405,921.6289727235613
2013-05-10,976.5402355086402,83.13999938964844,3.4212,1.9,101.31,3.353,901.5499108044907
2013-05-13,974.9744848702177,83.26000213623047,3.4238,1.92,102.17,3.3595,900.1066975908404
2013-05-14,960.9008764428934,83.56999969482422,3.4248,1.96,102.7,3.288,893.9574542399079
2013-05-15,968.4846408355316,83.83000183105469,3.4218,1.94,101.57,3.265,876.262811561944
2013-05-16,982.7157679872593,83.7699966430664,3.4219,1.87,104.27,3.2945,870.3645718041084
2013-05-17,997.2989531174915,84.27999877929688,3.4213,1.95,103.83,3.323,856.4347532359702
2013-05-20,1006.0031329530623,83.80999755859375,3.4253,1.97,104.55,3.36,868.6076998435153
2013-05-21,1010.6339656826948,83.86000061035156,3.4253,1.94,103.1,3.3435,864.5291403912041
2013-05-22,1008.7350302769862,84.25,3.4153,2.03,102.14,3.3805,858.1288934471747
2013-05-23,996.4558287009279,83.80000305175781,3.413,2.02,100.46,3.304,873.4391934795747
2013-05-24,1003.8033150069612,83.69999694824219,3.4181,2.01,101.24,3.2955,870.1763765559427
