生效日,触发日,类型,原因
2025-03-06,2025-03-05,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 -3.739% → -5.361%；铜：进入外侧，±3%边界；MA20偏离 -1.322% → +3.448%
2025-03-07,2025-03-06,阈值穿越,中国10年期利率：进入外侧，±3%边界；MA20偏离 +1.520% → +3.294%；美元指数：进入外侧，±2%边界；MA20偏离 -1.228% → -2.616%
2025-03-10,2025-03-07,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 -4.919% → -2.790%；铜：回到区间内，±3%边界；MA20偏离 +3.496% → +1.393%
2025-03-11,2025-03-10,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 -2.790% → -4.351%
2025-03-12,2025-03-11,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 -4.351% → -3.373%
2025-03-13,2025-03-12,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +2.462% → +4.094%
2025-03-14,2025-03-13,阈值穿越,美元指数：回到区间内，±2%边界；MA20偏离 -2.226% → -1.857%
2025-03-19,2025-03-18,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 +2.606% → +3.623%
2025-03-21,2025-03-20,阈值穿越,中国10年期利率：回到区间内，±3%边界；MA20偏离 +5.027% → +2.368%
2025-03-24,2025-03-21,阈值穿越,美元指数：回到区间内，±1%边界；MA20偏离 -1.063% → -0.715%；黄金：回到区间内，±3%边界；MA20偏离 +3.408% → +2.526%
2025-03-28,2025-03-27,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 +2.118% → +3.138%
2025-04-01,2025-03-31,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 +3.009% → +6.192%；铜：回到区间内，±3%边界；MA20偏离 +4.053% → +1.665%
2025-04-04,2025-04-03,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 +5.390% → -1.160%；中国10年期利率：进入外侧，±3%边界；MA20偏离 -2.208% → -6.003%；铜：进入外侧，±3%边界；MA20偏离 +1.057% → -3.214%；美元指数：进入外侧，±1%边界；MA20偏离 -0.076% → -1.656%；黄金：回到区间内，±3%边界；MA20偏离 +4.215% → +2.484%
2025-04-07,2025-04-04,阈值穿越,A500指数：进入外侧，±5%边界；MA20偏离 -2.415% → -9.549%；A500指数：进入外侧，±8%边界；MA20偏离 -2.415% → -9.549%；布伦特原油：进入外侧，±4%边界；MA20偏离 -1.160% → -6.592%；铜：进入外侧，±8%边界；MA20偏离 -3.214% → -11.490%；美元指数：回到区间内，±1%边界；MA20偏离 -1.656% → -0.702%；美国10年期利率：进入外侧，±5%边界；MA20偏离 -4.885% → -5.714%
2025-04-08,2025-04-07,阈值穿越,美国10年期利率：回到区间内，±5%边界；MA20偏离 -5.714% → -2.341%
2025-04-09,2025-04-08,阈值穿越,A500指数：回到区间内，±8%边界；MA20偏离 -9.081% → -7.343%；布伦特原油：进入外侧，±10%边界；MA20偏离 -9.333% → -10.667%
2025-04-10,2025-04-09,阈值穿越,布伦特原油：回到区间内，±10%边界；MA20偏离 -10.667% → -6.982%
2025-04-11,2025-04-10,阈值穿越,A500指数：回到区间内，±5%边界；MA20偏离 -5.827% → -4.134%；美元指数：进入外侧，±1%边界；MA20偏离 -0.729% → -2.549%；美元指数：进入外侧，±2%边界；MA20偏离 -0.729% → -2.549%；黄金：进入外侧，±3%边界；MA20偏离 +0.678% → +3.637%
2025-04-14,2025-04-11,阈值穿越,铜：回到区间内，±8%边界；MA20偏离 -10.699% → -6.499%；美国10年期利率：进入外侧，±5%边界；MA20偏离 +3.383% → +5.053%
2025-04-15,2025-04-14,阈值穿越,美国10年期利率：回到区间内，±5%边界；MA20偏离 +5.053% → +2.624%
2025-04-17,2025-04-16,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -3.649% → -1.986%
2025-04-18,2025-04-17,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 -4.469% → -2.289%
2025-04-22,2025-04-21,阈值穿越,中国10年期利率：回到区间内，±3%边界；MA20偏离 -3.951% → -2.458%
2025-04-23,2025-04-22,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +1.068% → +4.481%
2025-04-24,2025-04-23,阈值穿越,美元指数：回到区间内，±2%边界；MA20偏离 -2.729% → -1.596%
2025-04-27,2025-04-25,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 +4.533% → +2.661%
2025-04-28,2025-04-27,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 +2.661% → +3.888%
2025-04-30,2025-04-29,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 -2.856% → -5.003%；美元指数：回到区间内，±1%边界；MA20偏离 -1.453% → -0.999%；黄金：回到区间内，±3%边界；MA20偏离 +3.543% → +2.831%
2025-05-01,2025-04-30,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +4.697% → -0.731%
2025-05-02,2025-05-01,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 +2.075% → +4.618%
2025-05-07,2025-05-06,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 +3.189% → +2.638%
2025-05-09,2025-05-08,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -1.942% → -3.192%；美元指数：进入外侧，±1%边界；MA20偏离 +0.204% → +1.197%
2025-05-12,2025-05-09,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 -5.113% → -1.783%；铜：回到区间内，±3%边界；MA20偏离 -3.192% → -2.190%；美元指数：回到区间内，±1%边界；MA20偏离 +1.197% → +0.859%
2025-05-13,2025-05-12,阈值穿越,美元指数：进入外侧，±1%边界；MA20偏离 +0.859% → +2.236%；美元指数：进入外侧，±2%边界；MA20偏离 +0.859% → +2.236%；黄金：进入外侧，±3%边界；MA20偏离 -0.295% → -3.747%
2025-05-14,2025-05-13,阈值穿越,美元指数：回到区间内，±2%边界；MA20偏离 +2.236% → +1.360%
2025-05-19,2025-05-16,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -1.391% → -3.096%
2025-05-20,2025-05-19,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -3.096% → -1.203%；美元指数：回到区间内，±1%边界；MA20偏离 +1.092% → +0.356%；黄金：回到区间内，±3%边界；MA20偏离 -3.988% → -2.320%
2025-05-22,2025-05-21,阈值穿越,中国10年期利率：进入外侧，±3%边界；MA20偏离 +2.768% → +3.205%；美国10年期利率：进入外侧，±5%边界；MA20偏离 +3.036% → +5.022%
2025-05-23,2025-05-22,阈值穿越,美国10年期利率：回到区间内，±5%边界；MA20偏离 +5.022% → +3.807%
2025-05-25,2025-05-23,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -0.280% → +3.097%；美元指数：进入外侧，±1%边界；MA20偏离 -0.165% → -1.019%
2025-05-27,2025-05-26,阈值穿越,中国10年期利率：回到区间内，±3%边界；MA20偏离 +3.223% → +2.926%
2025-05-28,2025-05-27,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +3.086% → +0.449%；美元指数：回到区间内，±1%边界；MA20偏离 -1.180% → -0.593%
2025-06-03,2025-06-02,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -0.354% → +3.413%；美元指数：进入外侧，±1%边界；MA20偏离 -0.704% → -1.307%
2025-06-04,2025-06-03,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +3.413% → +2.701%；美元指数：回到区间内，±1%边界；MA20偏离 -1.307% → -0.739%
2025-06-05,2025-06-04,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +2.701% → +3.506%；美元指数：进入外侧，±1%边界；MA20偏离 -0.739% → -1.108%
2025-06-09,2025-06-06,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +4.182% → +2.142%；美元指数：回到区间内，±1%边界；MA20偏离 -1.078% → -0.498%
2025-06-10,2025-06-09,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 +3.437% → +4.374%；铜：进入外侧，±3%边界；MA20偏离 +2.142% → +3.544%
2025-06-11,2025-06-10,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 +4.374% → +3.691%；铜：回到区间内，±3%边界；MA20偏离 +3.544% → +2.749%
2025-06-12,2025-06-11,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 +3.691% → +7.492%
2025-06-13,2025-06-12,阈值穿越,美元指数：进入外侧，±1%边界；MA20偏离 -0.746% → -1.303%
2025-06-16,2025-06-13,阈值穿越,布伦特原油：进入外侧，±10%边界；MA20偏离 +6.361% → +13.279%；美元指数：回到区间内，±1%边界；MA20偏离 -1.303% → -0.929%；黄金：进入外侧，±3%边界；MA20偏离 +1.875% → +3.076%
2025-06-17,2025-06-16,阈值穿越,美元指数：进入外侧，±1%边界；MA20偏离 -0.929% → -1.005%；黄金：回到区间内，±3%边界；MA20偏离 +3.076% → +1.853%
2025-06-18,2025-06-17,阈值穿越,布伦特原油：进入外侧，±15%边界；MA20偏离 +11.190% → +15.499%；美元指数：回到区间内，±1%边界；MA20偏离 -1.005% → -0.139%
2025-06-19,2025-06-18,阈值穿越,布伦特原油：回到区间内，±15%边界；MA20偏离 +15.499% → +13.900%
2025-06-20,2025-06-19,阈值穿越,布伦特原油：进入外侧，±15%边界；MA20偏离 +13.900% → +15.536%
2025-06-23,2025-06-20,阈值穿越,布伦特原油：回到区间内，±15%边界；MA20偏离 +15.536% → +12.019%
2025-06-24,2025-06-23,阈值穿越,布伦特原油：回到区间内，±10%边界；MA20偏离 +12.019% → +5.024%
2025-06-25,2025-06-24,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 +5.024% → -2.667%
2025-06-27,2025-06-26,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +1.539% → +4.797%；美元指数：进入外侧，±1%边界；MA20偏离 -0.989% → -1.420%
2025-07-01,2025-06-30,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 -3.127% → -4.937%
2025-07-03,2025-07-02,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 -5.672% → -1.533%
2025-07-04,2025-07-03,阈值穿越,美元指数：回到区间内，±1%边界；MA20偏离 -1.385% → -0.899%
2025-07-07,2025-07-04,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +4.246% → +2.421%
2025-07-09,2025-07-08,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +1.579% → +14.003%；铜：进入外侧，±8%边界；MA20偏离 +1.579% → +14.003%
2025-07-16,2025-07-15,阈值穿越,铜：回到区间内，±8%边界；MA20偏离 +8.118% → +7.837%
2025-07-18,2025-07-17,阈值穿越,美元指数：进入外侧，±1%边界；MA20偏离 +0.700% → +1.047%
2025-07-21,2025-07-18,阈值穿越,美元指数：回到区间内，±1%边界；MA20偏离 +1.047% → +0.803%
2025-07-23,2025-07-22,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 +2.086% → +3.017%
2025-07-24,2025-07-23,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 +3.017% → +1.564%
2025-07-25,2025-07-24,阈值穿越,中国10年期利率：进入外侧，±3%边界；MA20偏离 +2.802% → +4.535%
2025-07-29,2025-07-28,阈值穿越,中国10年期利率：回到区间内，±3%边界；MA20偏离 +3.952% → +2.676%；铜：回到区间内，±3%边界；MA20偏离 +5.650% → +1.747%
2025-07-30,2025-07-29,阈值穿越,中国10年期利率：进入外侧，±3%边界；MA20偏离 +2.676% → +4.269%；美元指数：进入外侧，±1%边界；MA20偏离 +0.949% → +1.096%
2025-07-31,2025-07-30,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 +3.192% → +4.044%；中国10年期利率：回到区间内，±3%边界；MA20偏离 +4.269% → +2.323%
2025-08-01,2025-07-31,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 +4.044% → +3.052%；铜：进入外侧，±3%边界；MA20偏离 +0.718% → -20.926%；铜：进入外侧，±8%边界；MA20偏离 +0.718% → -20.926%
2025-08-04,2025-08-01,阈值穿越,美元指数：回到区间内，±1%边界；MA20偏离 +1.928% → +0.501%
2025-08-08,2025-08-07,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 -3.920% → -5.078%
2025-08-12,2025-08-11,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 -4.492% → -3.976%
2025-08-13,2025-08-12,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 -3.976% → -4.538%
2025-08-15,2025-08-14,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 -5.092% → -2.189%
2025-08-19,2025-08-18,阈值穿越,中国10年期利率：进入外侧，±3%边界；MA20偏离 +1.900% → +3.942%；铜：回到区间内，±8%边界；MA20偏离 -9.139% → -7.226%
2025-08-20,2025-08-19,阈值穿越,中国10年期利率：回到区间内，±3%边界；MA20偏离 +3.942% → +2.842%
2025-08-21,2025-08-20,阈值穿越,中国10年期利率：进入外侧，±3%边界；MA20偏离 +2.842% → +3.160%
2025-08-22,2025-08-21,阈值穿越,中国10年期利率：回到区间内，±3%边界；MA20偏离 +3.160% → +2.188%
2025-08-25,2025-08-22,阈值穿越,A500指数：进入外侧，±5%边界；MA20偏离 +3.535% → +5.413%；铜：回到区间内，±3%边界；MA20偏离 -3.963% → -2.315%
2025-08-28,2025-08-27,阈值穿越,A500指数：回到区间内，±5%边界；MA20偏离 +6.667% → +4.782%；中国10年期利率：进入外侧，±3%边界；MA20偏离 +1.460% → +3.467%
2025-08-29,2025-08-28,阈值穿越,A500指数：进入外侧，±5%边界；MA20偏离 +4.782% → +6.236%
2025-09-01,2025-08-31,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 +2.955% → +4.927%
2025-09-03,2025-09-02,阈值穿越,A500指数：回到区间内，±5%边界；MA20偏离 +5.130% → +4.625%；中国10年期利率：回到区间内，±3%边界；MA20偏离 +3.490% → +2.640%
2025-09-09,2025-09-08,阈值穿越,中国10年期利率：进入外侧，±3%边界；MA20偏离 +2.208% → +3.270%
2025-09-15,2025-09-12,阈值穿越,中国10年期利率：回到区间内，±3%边界；MA20偏离 +3.306% → +2.678%
2025-09-16,2025-09-15,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +1.927% → +3.104%
2025-09-17,2025-09-16,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +3.104% → +2.385%；美元指数：进入外侧，±1%边界；MA20偏离 -0.709% → -1.313%
2025-09-18,2025-09-17,阈值穿越,美元指数：回到区间内，±1%边界；MA20偏离 -1.313% → -0.979%
2025-09-19,2025-09-18,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 +3.521% → +2.063%
2025-09-23,2025-09-22,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 +2.415% → +3.835%
2025-09-25,2025-09-24,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +0.170% → +3.554%；黄金：回到区间内，±3%边界；MA20偏离 +4.398% → +2.633%
2025-09-26,2025-09-25,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 +3.060% → +4.099%；铜：回到区间内，±3%边界；MA20偏离 +3.554% → +2.186%
2025-09-28,2025-09-26,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 +2.395% → +3.128%
2025-09-29,2025-09-28,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 +4.774% → +1.465%；铜：进入外侧，±3%边界；MA20偏离 +2.300% → +5.097%
2025-10-09,2025-10-08,阈值穿越,美元指数：进入外侧，±1%边界；MA20偏离 +0.921% → +1.130%
2025-10-11,2025-10-10,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 -1.230% → -5.131%；铜：回到区间内，±3%边界；MA20偏离 +5.957% → +1.036%
2025-10-13,2025-10-11,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +1.036% → +5.706%
2025-10-15,2025-10-14,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +5.153% → +2.238%；美元指数：回到区间内，±1%边界；MA20偏离 +1.109% → +0.798%
2025-10-22,2025-10-21,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 +8.499% → +1.830%
2025-10-24,2025-10-23,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 -4.033% → +2.404%
2025-10-30,2025-10-29,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +1.759% → +3.285%
2025-10-31,2025-10-30,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +3.285% → +0.667%
2025-11-05,2025-11-04,阈值穿越,美元指数：进入外侧，±1%边界；MA20偏离 +0.840% → +1.123%；黄金：进入外侧，±3%边界；MA20偏离 -1.856% → -3.149%
2025-11-06,2025-11-05,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 -3.149% → -2.390%
2025-11-07,2025-11-06,阈值穿越,美元指数：回到区间内，±1%边界；MA20偏离 +1.069% → +0.557%
2025-11-13,2025-11-12,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 +0.878% → +3.241%
2025-11-14,2025-11-13,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 +3.241% → +2.929%
2025-11-28,2025-11-27,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 +2.433% → +3.463%
2025-12-01,2025-11-28,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +2.040% → +3.911%
2025-12-03,2025-12-02,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +4.282% → +2.804%；黄金：回到区间内，±3%边界；MA20偏离 +3.375% → +1.794%
2025-12-04,2025-12-03,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +2.804% → +5.251%
2025-12-10,2025-12-09,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +5.053% → +2.400%
2025-12-12,2025-12-11,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +2.800% → +5.238%；美元指数：进入外侧，±1%边界；MA20偏离 -0.673% → -1.074%；黄金：进入外侧，±3%边界；MA20偏离 +1.011% → +3.033%
2025-12-15,2025-12-12,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +5.238% → +2.223%；美元指数：回到区间内，±1%边界；MA20偏离 -1.074% → -0.980%
2025-12-16,2025-12-15,阈值穿越,美元指数：进入外侧，±1%边界；MA20偏离 -0.980% → -1.160%；黄金：回到区间内，±3%边界；MA20偏离 +3.121% → +2.985%
2025-12-17,2025-12-16,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 -3.179% → -5.360%
2025-12-18,2025-12-17,阈值穿越,美元指数：回到区间内，±1%边界；MA20偏离 -1.090% → -0.776%；黄金：进入外侧，±3%边界；MA20偏离 +2.634% → +3.327%
2025-12-19,2025-12-18,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 -4.046% → -3.695%；黄金：回到区间内，±3%边界；MA20偏离 +3.327% → +2.791%
2025-12-22,2025-12-19,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +2.390% → +3.353%
2025-12-23,2025-12-22,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +3.353% → +2.877%；黄金：进入外侧，±3%边界；MA20偏离 +2.962% → +4.492%
2025-12-24,2025-12-23,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +2.877% → +3.199%
2025-12-30,2025-12-29,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +7.080% → +1.315%；黄金：回到区间内，±3%边界；MA20偏离 +4.899% → +0.075%
2025-12-31,2025-12-30,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +1.315% → +5.271%
