,A_500,Dollar Index,cn_10y_rate,us_10y_rate,brent,Copper Futures Price,Gold Futures Price
2021-06-08,2192.591683882423,90.08000183105469,3.11,1.53,71.39,4.559,1187.2999994638312
2021-06-09,2198.204649488173,90.12000274658203,3.1051,1.5,71.31,4.5345,1187.927470148802
2021-06-10,2221.1871395035187,90.08000183105469,3.1,1.45,71.65,4.489,1188.5549408337731
2021-06-11,2207.8390608690097,90.55999755859375,3.1276,1.47,72.05,4.5415,1178.0134792835865
2021-06-14,2182.5961408638414,90.5199966430664,3.1176,1.51,72.27,4.531,1163.644385278643
2021-06-15,2182.5961408638414,90.54000091552734,3.1176,1.51,73.38,4.3375,1163.644385278643
2021-06-16,2137.467752215062,91.12999725341797,3.1301,1.57,73.88,4.3885,1166.781738703498
2021-06-17,2152.0117391373783,91.88999938964844,3.1401,1.52,72.92,4.1825,1113.0075316397038
2021-06-18,2157.9520823685007,92.2300033569336,3.1202,1.45,73.1,4.1615,1109.3054392792665
2021-06-21,2159.332730358431,91.86000061035156,3.0953,1.5,74.49,4.1845,1118.0272971194713
2021-06-22,2171.421385090454,91.7300033569336,3.0877,1.48,74.92,4.2245,1114.576208352131
2021-06-23,2188.484219817743,91.80000305175781,3.0853,1.5,75.22,4.3265,1118.341032461957
2021-06-24,2186.7050567139995,91.81999969482422,3.0828,1.49,75.95,4.307,1114.1369329153258
2021-06-25,2219.294737132462,91.80999755859375,3.0827,1.54,76.45,4.2905,1114.7644036002969
2021-06-28,2230.0778737730598,91.87999725341797,3.0903,1.49,74.78,4.28,1116.6468156552098
2021-06-29,2208.3464598937003,92.05000305175781,3.0853,1.49,75.38,4.2645,1106.1053541050233
2021-06-30,2226.8498287619027,92.44000244140625,3.0778,1.45,76.94,4.289,1111.1251195847908
2021-07-01,2223.2381494380866,92.5999984741211,3.0878,1.48,76.69,4.236,1114.3252047590342
2021-07-02,2163.7980595435297,92.2300033569336,3.0803,1.44,77.51,4.276,1118.5292277101225
2021-07-05,2166.2817015506525,92.55000305175781,3.0754,1.37,78.34,4.344,1125.3686734954147
2021-07-06,2166.2817015506525,92.55000305175781,3.0854,1.37,75.81,4.251,1125.3686734954147
2021-07-07,2196.923448803511,92.63999938964844,3.0554,1.33,74.31,4.3225,1130.3884389751825
2021-07-08,2182.426281962872,92.36000061035156,2.983,1.3,75.07,4.2645,1129.196229354629
2021-07-09,2179.545939573785,92.12999725341797,3.0105,1.37,77.14,4.3455,1135.7219397974354
2021-07-12,2216.8778772573446,92.2300033569336,2.9431,1.38,76.77,4.316,1132.898321715066
2021-07-13,2218.8740822901045,92.75,2.9256,1.42,77.5,4.307,1135.3454727055614
2021-07-14,2192.080655394036,92.41000366210938,2.9356,1.37,75.74,4.2675,1144.694801230737
2021-07-15,2218.767739003814,92.62000274658203,2.9557,1.31,74.53,4.323,1147.2674157200095
2021-07-16,2191.1308247448123,92.69000244140625,2.9432,1.31,74.46,4.323,1138.5455578798046
2021-07-19,2197.4842009445315,92.88999938964844,2.9483,1.19,69.33,4.2015,1134.9061972687562
2021-07-20,2197.8496879387117,92.97000122070312,2.9258,1.23,70.03,4.263,1136.2866787330179
2021-07-21,2221.248840386349,92.75,2.9184,1.3,72.54,4.272,1131.2669132532503
2021-07-22,2227.079936760225,92.81999969482422,2.9284,1.27,74.25,4.3375,1132.5845863725806
2021-07-23,2199.182427007855,92.91000366210938,2.9134,1.3,74.86,4.4,1130.3257072257936
2021-07-26,2136.8986523075405,92.6500015258789,2.8711,1.29,74.79,4.585,1128.6314904190467
2021-07-27,2061.861305126109,92.43000030517578,2.911,1.25,74.87,4.5445,1129.1334976052403
2021-07-28,2065.300947870739,92.31999969482422,2.9312,1.26,75.09,4.482,1129.1334976052403
2021-07-29,2116.7696466499324,91.86000061035156,2.884,1.28,76.3,4.5075,1149.0242876806028
2021-07-30,2105.1833096934265,92.16999816894531,2.8363,1.24,77.72,4.4655,1137.3533482592516
2021-08-02,2151.5409976960163,92.05000305175781,2.8212,1.2,73.91,4.418,1140.8044370265918
2021-08-03,2145.0493389294825,92.08000183105469,2.8337,1.19,73.24,4.3755,1135.784671546824
2021-08-04,2174.550708689081,92.2699966430664,2.8338,1.19,70.99,4.3215,1136.035675139921
2021-08-05,2161.51694161064,92.23999786376953,2.7988,1.23,72.14,4.334,1132.6473181219692
2021-08-06,2151.861842286736,92.80000305175781,2.8139,1.31,71.02,4.339,1104.3484055488875
2021-08-09,2166.1945944219497,92.94999694824219,2.8615,1.33,69.65,4.282,1081.382993798059
2021-08-10,2185.005378865197,93.05999755859375,2.8766,1.36,71.14,4.346,1084.7713508160107
2021-08-11,2177.136338626059,92.91000366210938,2.8841,1.35,71.99,4.36,1098.3247022922749
2021-08-12,2162.7110351665997,93.04000091552734,2.8566,1.36,71.79,4.35,1097.446228014207
2021-08-13,2151.090581251352,92.5199966430664,2.8792,1.29,70.9,4.3825,1113.885929322229
2021-08-16,2141.3146207863742,92.62999725341797,2.8943,1.26,70.07,4.32,1121.227382293715
2021-08-17,2092.8805166033444,93.12999725341797,2.8819,1.26,69.4,4.2015,1120.0351726731615
2021-08-18,2110.1955990575007,93.13999938964844,2.8494,1.27,68.61,4.117,1117.9017570251517
2021-08-19,2104.919810629102,93.56999969482422,2.8395,1.24,66.8,4.0405,1117.0232827470838
2021-08-20,2066.979574830105,93.5,2.852,1.26,65.51,4.1255,1117.5252899332777
2021-08-23,2103.7699965302327,92.95999908447266,2.8672,1.25,69.07,4.221,1131.455108501416
2021-08-24,2125.7282518905877,92.88999938964844,2.8522,1.29,71.21,4.26,1132.9610534644548
2021-08-25,2136.5161068339894,92.83000183105469,2.8547,1.35,72.12,4.27,1122.0430482268516
2021-08-26,2098.815778585293,93.05999755859375,2.8848,1.34,70.42,4.252,1124.5529309667352
2021-08-27,2111.6339555201967,92.69000244140625,2.8698,1.31,72.26,4.3235,1139.863230999135
2021-08-30,2112.692670080298,92.6500015258789,2.8505,1.29,73.45,4.371,1135.0944691124644
2021-08-31,2106.021715807185,92.62999725341797,2.845,1.3,73.45,4.37,1138.8592932222903
2021-09-01,2116.829532800915,92.44999694824219,2.8226,1.31,71.99,4.274,1137.6670836017367
2021-09-02,2119.153478405417,92.2300033569336,2.8301,1.29,73.56,4.2995,1134.9061972687562
2021-09-03,2105.9088394862424,92.04000091552734,2.8327,1.33,73.07,4.331,1148.836092432437
2021-09-05,2172.214422908013,92.5199966430664,2.8354,1.38,72.43,4.3325,1126.8746184584536
2021-09-06,2172.214422908013,92.5199966430664,2.8354,1.38,72.43,4.332,1126.8746184584536
2021-09-07,2172.214422908013,92.5199966430664,2.8604,1.38,71.52,4.2795,1126.8746184584536
2021-09-08,2164.7366388552964,92.6500015258789,2.8705,1.35,72.36,4.2325,1123.611724939279
2021-09-09,2168.112765985247,92.4800033569336,2.873,1.3,71.32,4.284,1127.8158244859098
2021-09-10,2182.1312065643933,92.58000183105469,2.8656,1.35,72.44,4.45,1122.9215225049195
2021-09-13,2175.3912924810575,92.62000274658203,2.8908,1.33,72.97,4.365,1124.4274674679582
2021-09-14,2152.8653889986604,92.6500015258789,2.8858,1.28,73.05,4.319,1132.3963145288722
2021-09-15,2135.390610141883,92.48999786376953,2.9009,1.31,74.84,4.404,1124.678471061055
2021-09-16,2102.447419959437,92.86000061035156,2.8885,1.34,75.14,4.28,1100.9600485309359
2021-09-17,2115.1676013745505,93.19999694824219,2.8785,1.37,74.64,4.2445,1097.6972316073038
2021-09-18,2107.3769575512442,93.23999786376953,2.8717,1.31,73.59,4.1135,1114.8271353496855
2021-09-20,2107.3769575512442,93.23999786376953,2.8639,1.31,73.59,4.1135,1114.8271353496855
2021-09-21,2107.3769575512442,93.19999694824219,2.8639,1.33,73.65,4.126,1114.8271353496855
2021-09-22,2107.3769575512442,93.45999908447266,2.8639,1.32,75.5,4.252,1114.8271353496855
2021-09-23,2119.4590792486138,93.0999984741211,2.8565,1.41,76.44,4.231,1096.6304854855275
2021-09-24,2113.388075324438,93.33000183105469,2.8719,1.47,77.42,4.2845,1097.8854268554696
2021-09-26,2115.5839008604735,93.37999725341797,2.8797,1.48,78.85,4.291,1098.0736986991778
2021-09-27,2115.5839008604735,93.37999725341797,2.8825,1.48,78.85,4.291,1098.0736986991778
2021-09-28,2114.7756192953902,93.7699966430664,2.8769,1.54,78.3,4.2485,1089.1636456108074
2021-09-29,2085.586383413641,94.33999633789062,2.8646,1.55,77.86,4.199,1080.1907841775055
2021-09-30,2109.6631567333084,94.25,2.8776,1.52,77.81,4.089,1101.399323967741
2021-10-01,2130.213180179644,94.04000091552734,2.9131,1.48,79.4,4.1885,1102.026794652712
2021-10-04,2130.213180179644,93.80999755859375,2.9131,1.49,81.44,4.2385,1102.026794652712
2021-10-05,2130.213180179644,93.9800033569336,2.9131,1.54,82.72,4.1925,1102.026794652712
2021-10-06,2130.213180179644,94.2699966430664,2.9131,1.53,81.39,4.1475,1102.026794652712
2021-10-07,2130.213180179644,94.22000122070312,2.9131,1.58,82.34,4.2435,1102.026794652712
2021-10-08,2130.213180179644,94.06999969482422,2.9131,1.61,82.17,4.2755,1102.026794652712
2021-10-09,2129.372959334037,94.31999969482422,2.9186,1.59,83.75,4.3665,1100.9600485309359
2021-10-11,2129.372959334037,94.31999969482422,2.958,1.59,83.75,4.3665,1100.9600485309359
2021-10-12,2100.775688981093,94.5199966430664,2.9657,1.59,83.53,4.3255,1103.2817360226538
2021-10-13,2127.0649833697976,94.08000183105469,2.9578,1.56,83.53,4.516,1125.4941369941916
2021-10-14,2122.025473028003,93.95999908447266,2.9581,1.52,83.86,4.6315,1127.3765490491046
2021-10-15,2136.5092108529675,93.94000244140625,2.9683,1.59,84.67,4.7295,1108.8661638424612
2021-10-18,2122.065397128659,93.94999694824219,3.0426,1.59,84.13,4.7255,1107.3602954749651
2021-10-19,2138.8407783312305,93.79000091552734,3.0102,1.65,85.02,4.703,1110.4348405548888
2021-10-20,2135.4160163877546,93.55999755859375,2.9978,1.65,85.76,4.7345,1119.4704337375792
2021-10-21,2140.73935079057,93.7699966430664,2.9702,1.68,84.58,4.5585,1117.6507534320547
2021-10-22,2148.7176378869553,93.61000061035156,2.9953,1.66,85.43,4.498,1126.6236148653566
2021-10-25,2160.4974252584543,93.80999755859375,2.9879,1.64,84.85,4.528,1133.2120570575516
2021-10-26,2153.0958599433516,93.94999694824219,2.978,1.63,85.11,4.486,1124.8666663092208
2021-10-27,2130.6886399238106,93.86000061035156,2.9781,1.54,84.12,4.3895,1128.1295598283953
2021-10-28,2112.007790280877,93.3499984741211,2.9682,1.57,83.4,4.4275,1130.4511707245708
2021-10-29,2139.2247755902595,94.12000274658203,2.9732,1.55,83.1,4.359,1118.7802313032196
2021-11-01,2133.194058713108,93.87999725341797,2.9435,1.58,84.51,4.379,1126.3726112722595
2021-11-02,2113.8167149869264,94.08999633789062,2.9259,1.56,84.42,4.3515,1122.3567835693368
2021-11-03,2105.3622422536355,93.86000061035156,2.9385,1.6,81.1,4.309,1106.6072846956745
2021-11-04,2127.393812780648,94.3499984741211,2.9261,1.53,80.15,4.309,1125.054938152929
2021-11-05,2113.7060163442006,94.31999969482422,2.8911,1.45,82.43,4.3355,1139.7377675003581
2021-11-08,2119.3051899879065,94.05000305175781,2.9013,1.51,83.22,4.3945,1146.6399450350386
2021-11-09,2124.2154914221255,93.95999908447266,2.8988,1.46,84.52,4.3725,1148.3968169956318
2021-11-10,2110.146964243975,94.8499984741211,2.9139,1.56,82.91,4.323,1159.314822233235
2021-11-11,2140.159362491961,95.18000030517578,2.9365,1.58,83.4,4.398,1169.1033495996735
2021-11-12,2137.275390639177,95.12999725341797,2.9391,1.58,82.9,4.447,1172.0525077763623
2021-11-15,2129.242298640984,95.41000366210938,2.9269,1.63,81.94,4.4005,1170.9230299051976
2021-11-16,2125.106887705845,95.91999816894531,2.9244,1.63,82.85,4.3545,1163.0796463430606
2021-11-17,2133.186073892977,95.83000183105469,2.9295,1.6,80.67,4.268,1173.1819090519846
2021-11-18,2114.405413998406,95.54000091552734,2.9146,1.59,82.45,4.305,1167.7229447309542
2021-11-19,2138.03975569354,96.06999969482422,2.9302,1.54,80.24,4.4,1161.5737013800217
2021-11-22,2158.356041677858,96.5,2.8876,1.63,80.97,4.3975,1133.2120570575516
2021-11-23,2155.7192363027666,96.48999786376953,2.8875,1.67,83.43,4.4235,1119.093966645705
2021-11-24,2154.855786889506,96.83999633789062,2.86,1.64,82.37,4.4645,1119.4704337375792
2021-11-25,2134.7412990866815,96.08999633789062,2.855,1.48,82.05,4.44,1120.2234445168697
2021-11-26,2134.7412990866815,96.08999633789062,2.82,1.48,72.37,4.2875,1120.2234445168697
2021-11-29,2137.0053585402006,96.33999633789062,2.825,1.52,73.34,4.3415,1118.341032461957
2021-11-30,2131.936812488839,95.98999786376953,2.825,1.43,70.86,4.2805,1112.881991545384
2021-12-01,2133.6695184572745,96.05000305175781,2.8401,1.43,69.53,4.247,1117.9017570251517
2021-12-02,2135.1154967937314,96.12999725341797,2.8601,1.44,70.56,4.2995,1104.7876043901501
2021-12-03,2153.8805499944106,96.12000274658203,2.8701,1.35,70.71,4.266,1118.1527606182487
2021-12-06,2141.878639444721,96.29000091552734,2.8176,1.43,73.38,4.3375,1115.3291425358793
2021-12-07,2144.31183190647,96.37000274658203,2.8451,1.48,75.54,4.339,1118.5292277101225
2021-12-08,2177.8215813718502,95.88999938964844,2.8551,1.52,75.94,4.3925,1119.0312348963166
2021-12-09,2205.328197884168,96.2699966430664,2.8526,1.49,74.1,4.332,1113.509462230355
2021-12-10,2199.397291258654,96.05000305175781,2.8426,1.48,74.98,4.285,1118.717499553831
2021-12-13,2214.1808227849024,96.31999969482422,2.8552,1.42,74.12,4.2815,1120.8509152018407
2021-12-14,2200.111569714013,96.56999969482422,2.8477,1.44,73.37,4.255,1110.874115991694
2021-12-15,2183.155804165753,96.51000213623047,2.8502,1.47,73.71,4.1805,1105.9798140107036
2021-12-16,2198.210819576456,96.04000091552734,2.8577,1.44,74.64,4.3025,1127.3138172997162
2021-12-17,2164.399824624314,96.56999969482422,2.8512,1.41,72.97,4.2925,1131.8316521888325
2021-12-20,2129.3584414792535,96.55000305175781,2.8533,1.43,70.51,4.29,1125.4941369941916
2021-12-21,2146.2278257915495,96.48999786376953,2.8508,1.48,72.85,4.3425,1121.8548529786858
2021-12-22,2151.5311981440373,96.08000183105469,2.8303,1.46,74.69,4.389,1130.4511707245708
2021-12-23,2164.8066875046275,96.0199966430664,2.8143,1.5,76.26,4.3895,1136.4748739811837
2021-12-24,2145.4943111786033,96.08999633789062,2.8203,1.48,75.24,4.405,1134.5297301768821
2021-12-27,2145.4943111786033,96.08999633789062,2.8128,1.48,78.63,4.4695,1134.5297301768821
2021-12-28,2159.791494569596,96.19999694824219,2.8004,1.49,78.63,4.4295,1135.8474032962124
2021-12-29,2131.8751116060084,95.93000030517578,2.7854,1.55,78.63,4.41,1132.6473181219692
2021-12-30,2149.06025925985,95.97000122070312,2.7654,1.52,78.61,4.3925,1137.41608000864
2021-12-31,2158.295066687766,95.66999816894531,2.7754,1.52,77.24,4.4635,1146.7026767844272
2022-01-03,2147.9833973812692,96.23999786376953,2.7855,1.63,78.25,4.4215,1138.2318225373194
2022-01-04,2147.9833973812692,96.29000091552734,2.7855,1.66,79.39,4.475,1138.2318225373194
2022-01-05,2120.701444671729,96.19000244140625,2.8045,1.71,80.6,4.4135,1144.882996478903
2022-01-06,2102.9047323851237,96.25,2.8205,1.73,81.99,4.3545,1122.3567835693368
2022-01-07,2101.2558670280646,95.73999786376953,2.8181,1.76,82.28,4.41,1127.564820892813
2022-01-10,2110.7810315516535,95.98999786376953,2.8056,1.78,81.56,4.352,1128.443295170881
2022-01-11,2089.2180247877855,95.62000274658203,2.7957,1.75,84.98,4.429,1141.118172369077
2022-01-12,2112.187811680195,95.0,2.7957,1.74,85.83,4.5765,1146.514404940719
